"","validationtext","y_val","predictions"
"1","close",0,0.0647598803043365
"2","i think because he was back home in hospital",1,0.987391829490662
"3","granny was depressed",0,0.0290795862674713
"4","wanting so se his grandmar",0,0.41346201300621
"5","it adds a sadness to the poem",0,0.00846412777900696
"6","his leg",0,0.066381573677063
"7","he went to a hospital near his granny",1,0.98935478925705
"8","realised suddenly that circumstance",0,0.00756609439849854
"9","he rememberd that he was not alone",0,0.0651441216468811
"10","to write and ask if she could visit me",0,0.0262419879436493
"11","she realised suddenly that she had a circumstance",0,0.0129497349262238
"12","passive voice",0,0.028641015291214
"13","he had to stay in a hospital ward",1,0.925979971885681
"14","he was given an opertunity to see her again",1,0.991392970085144
"15","he went to hospital and the hospital was near the town his grannie lived in",1,0.99838662147522
"16","it was shocking",0,0.0175764858722687
"17","he felt safe because he was near his grans",1,0.988981127738953
"18","a solidier and was wounded while in france",0,0.0026792585849762
"19","he relized that circumstance had bought him close to that small town",0,0.0371487140655518
"20","worried for him",0,0.014812171459198
"21","the poet wanted to see grannie",0,0.491369903087616
"22","he was put in a small town where she was living still",1,0.999394953250885
"23","he became united with her again",1,0.0223849415779114
"24","that he saw his grannie when she came to visit him",1,0.99360579252243
"25","that he saw his real granny",1,0.971220910549164
"26","he ended up near granny's house",1,0.984181880950928
"27","that the poet became lame",1,0.607718706130981
"28","he realised that circumstance had brought him closer to his grandma",1,0.993656396865845
"29","he got took to a hospital near the small village she lived in",1,0.995996117591858
"30","going back to his grannie's hometown and remembering her",1,0.418229043483734
"31","i was wounded",0,0.00883355736732483
"32","he felf said becase he got ctusted from the war",0,0.366748452186584
"33","it made him come closer to where grannie lives",1,0.995726823806763
"34","he had been brought to a small town were his grannie was living",1,0.997381448745728
"35","was still very lame",1,0.97976815700531
"36","it made him want to visit and see his gran",0,0.968506693840027
"37","he was brought to a close town were grannie still lived",1,0.998923242092133
"38","lame in hositill",1,0.934426307678223
"39","his granny came to visit him",1,0.976182401180267
"40","it makes the reader feel sad",0,0.00334817171096802
"41","it creates atmosphere and shows that without his grannie he maybe isn't so safe but she is always there for him",0,0.0944998264312744
"42","wonded",0,0.0166394710540771
"43","the boy was in  the war he ask if is grany  him",0,0.361297607421875
"44","wounded ended up in hospitail still very lame",1,0.992659091949463
"45","he got wounded in france and in hospital was lame",1,0.990194082260132
"46","he was hurt and had to go to hospital",1,0.985892057418823
"47","grannie was sad",0,0.00537890195846558
"48","alliteration",0,0.017051488161087
"49","grannie turned to an old lady",0,0.0470724701881409
"50","a soldier got wounded",0,0.00601103901863098
"51","because he was wounded he was close to his nan's house and she visited",1,0.950588047504425
"52","he was lame where he got hurt",1,0.981539487838745
"53","he was wounded in france and went home to the hosptal near the town where his gran was living",1,0.999223232269287
"54","he got to see his grann again",1,0.994543671607971
"55","he realised he was in the town where his grannie still lived",1,0.999195575714111
"56","it makes you feel sad",0,0.00164848566055298
"57","it shows how much he cared",0,0.0136594772338867
"58","he got wounded",0,0.0142822563648224
"59","he could write to his grannie because he was outside her small town",1,0.0203374326229095
"60","he was wounded while he was in france and he was close to his grannie's house",1,0.988610744476318
"61","it brought him closer to the small town where she was still living",1,0.999714255332947
"62","the grany felt so frail so small",0,0.0548701882362366
"63","he was close to town where his granny was and living still",1,0.996614336967468
"64","he broke his leg",1,0.0827580094337463
"65","it brought him closer to the small time where she was living",1,0.999038100242615
"66","it was a dark cold day",0,0.00428593158721924
"67","it brought him closer to where grannie lived",1,0.997950792312622
"68","brought them back toghether",1,0.78723132610321
"69","he was in hospital near where he used to live",1,0.994799673557281
"70","the poet went to hospital then went home",1,0.996164321899414
"71","it says wounded",0,0.00852948427200317
"72","because it's a war",0,0.0200831294059753
"73","back home",1,0.695779621601105
"74","he was sad",0,0.00588130950927734
"75","scared",0,0.0122750103473663
"76","he realised the circumstance had brought him close to where she lives",1,0.994953155517578
"77","he was still very lame",1,0.988556325435638
"78","he was wounded while being in france",0,0.023036003112793
"79","he wanted to see grannie",0,0.419618129730225
"80","he was wounded while in france because he's lame",1,0.975661993026733
"81","the effect was that it would be quite sad and upsetting",0,0.00999236106872559
"82","it had brought him close to the small town",0,0.0632321834564209
"83","he came back home",1,0.987139463424683
"84","his grannie could visit him in hospital",1,0.977421045303345
"85","he was sent to a town near where grannie lived",1,0.99964451789856
"86","happy",0,0.014684796333313
"87","he had to go home and stay in the hospital ",1,0.98402613401413
"88","that grannie was now old",0,0.0168774724006653
"89","that he fort hard",0,0.0348078906536102
"90","happiness",0,0.0167001783847809
"91","suspence",0,0.0146709382534027
"92","was wouned later in france",0,0.0118636786937714
"93","it brought him closer to the town that grannie lived in",1,0.994825959205627
"94","it made a shiver go down my spine",0,0.0247780978679657
"95","i broke out and became a soilder",0,0.00510159134864807
"96","he would see his grannie again",1,0.991690993309021
"97","he realised how close he was to the town she lived in",1,0.994646430015564
"98","it makes him see his grannie again",1,0.99107825756073
"99","that he could get grannie to come over",1,0.914584875106812
"100","suprised because there could be a chance for granny to visit again",1,0.681388795375824
"101","when he was injured he felt lame so he could not do any thing",1,0.490945488214493
"102","because he was in hospital",1,0.984541058540344
"103","that he was back home but in hospital",1,0.992980718612671
"104","he was close to where his granny was again",1,0.996607065200806
"105","he was close to the small town that she was living in",1,0.996353149414062
"106","he went back home",1,0.984725475311279
"107","it says i became a soilder and was wounded in france",0,0.00771594047546387
"108","they went to the town their grannie used to live",1,0.913867831230164
"109","he was took to a hospitol near granny",1,0.0936631262302399
"110","it made the reader feel affectionate towards the poet",0,0.0236774981021881
"111","he could see her in hospital because the hospital was in the same town where grannie lived",1,0.999722480773926
"112","he was sent back close to his grannie's home",1,0.996660172939301
"113","broke out and he became a soldier in france",0,0.00460264086723328
"114","that his is brave and storng",0,0.0585882961750031
"115","heshe was brought closer were hisher grannie was still living",1,0.992398083209991
"116","it was still lame",1,0.951742053031921
"117","he met his grannie again",1,0.987126529216766
"118","realized cirumstane had brought him close to that small town",0,0.0691666901111603
"119","getting wounded",0,0.011390209197998
"120","it brought him closer to her",1,0.945339322090149
"121","that he was near wear grannie lived",1,0.996305465698242
"122","that war broke out",0,0.00684785842895508
"123","the soldier gets injured and gets taken home he also goes to the hospital near his gran",1,0.998438835144043
"124","he was taken to a hospital near his grandma",1,0.996394038200378
"125","to let grannie be there for him",0,0.0361325144767761
"126","because he was back home in hospital",1,0.987157940864563
"127","they got to see grannie",1,0.980499982833862
"128","that he got to see his granny",1,0.983459293842316
"129","he realised the circumstance that brought him close to his home town were his grannie was",1,0.998805642127991
"130","that he had to go in the lame hospital",1,0.988233923912048
"131","he had to go to hospital which brought him close to the town where his grannie lived",1,0.999905407428741
"132","he went to hospital and it was near his grannie",1,0.984185934066772
"133","the poet was able to meet his grannie again",1,0.98875367641449
"134","it brought him close to that small town",0,0.0409798622131348
"135","it made the reader sad his granny was poorly too because he went to fight in the war and she could've been alone",0,0.700487017631531
"136","one effect was that because he was injured he went to the hospital where his grannie lived",1,0.999874353408813
"137","he went back home in hospital",1,0.997041583061218
"138","hes bin brought back home",1,0.967422604560852
"139","back in the hospital still very lame",1,0.997264862060547
"140","he went back to the town she was living in",1,0.998084902763367
"141","you know that he was older",0,0.00891250371932983
"142","the grannie was getting and she will be on her own",0,0.094862312078476
"143","he could see his grannie again",1,0.994851589202881
"144","love lit up again",0,0.0381944477558136
"145","that he could see his granny",1,0.97856068611145
"146","he got to see his grannie and love lit up the day",1,0.0158504247665405
"147","he was brought to where his grannie lived",1,0.999301075935364
"148","he could see grannie",1,0.798211336135864
"149","back in hospital",1,0.972445368766785
"150","hospital very lame",1,0.986277461051941
"151","it brought him closer to grannie",1,0.959802627563477
"152","it had brought him closer to where she was living",1,0.999284505844116
"153","he had to go to the hospital and was still very lame",1,0.996210992336273
"154","he forgot his grandmother",0,0.89070862531662
"155","she was living still",0,0.980807304382324
"156","he saw his grandma",1,0.969816386699677
"157","that she got shot in france",0,0.324653804302216
"158","that he needed his grannie to help him",0,0.813552796840668
"159","it was in france",0,0.014486700296402
"160","it had brought him close to that town where she was living still",1,0.999794602394104
"161","his grandmother went small",0,0.431461244821548
"162","he was able to see granny",1,0.26631361246109
"163","yet oh so gentle and she understood every hope and dream i ever had",0,0.0774596631526947
"164","the poet wanted to see his grannie again",0,0.99339771270752
"165","it brought him close to where his grannie lived",1,0.99973201751709
"166","shock",0,0.0131031274795532
"167","he saw grannie again",1,0.981400430202484
"168","there wasn't going to be any more trouble from the war",0,0.0306075811386108
"169","it made the man get closer to the little town where his grannie lived",1,0.999741554260254
"170","he was able to see grannie",1,0.701659321784973
"171","the poet was able to see his grannie",1,0.986671149730682
"172","saded",0,0.0209333896636963
"173","happy because he had to leave the war and go home",1,0.979286730289459
"174","it made him go to hospital which brought him closer to where she stayed",1,0.997358798980713
"175","i think one of the effect could be sad because he was wonded in the war",0,0.0262989401817322
"176","he has brought to a town were grannie lives",1,0.993356704711914
"177","he got to his grannie again",1,0.993945956230164
"178","it made him think about her",0,0.0135303437709808
"179","back in hospital very lame",1,0.996620893478394
"180","that he was in the same town where his nan was living",1,0.999577760696411
"181","he was brought closer to his granny",1,0.989586114883423
"182","visit",0,0.0176469087600708
"183","the poet went to a hospital that his grannie was near by to",1,0.975940823554993
"184","he was bored",0,0.0229206085205078
"185","it made him realise that he needed someone beside him",0,0.0929286479949951
"186","hobbled throug the ward were i lay",0,0.87337601184845
"187","he couldn't see his grannie anymore",0,0.893236815929413
"188","he became very lame",1,0.837501466274261
"189","he was near to his grannies town",1,0.995409250259399
"190","shocked to see his grannie so small",0,0.0351647436618805
"191","he became lame",1,0.699713408946991
"192","to get back home",1,0.917715072631836
"193","brought him close to where granie lived  grannie visited him",1,0.996809005737305
"194","he ended up in hospital in his grannies village",1,0.997136950492859
"195","shocked of the circumstance",0,0.0107574462890625
"196","he came back to the small town where she was living still",1,0.999548196792603
"197","that the hospital he was at was near his grannies",1,0.992479085922241
"198","he was close to his grannie",1,0.947474718093872
"199","because it goes back a bit before when it said she would protect him from his fear",0,0.126124113798141
"200","that they were very lame",1,0.988548636436462
"201","he was lam",1,0.0386834144592285
"202","because it says years later war broke out and i became a soldier and was wounded while in france",0,0.00236380100250244
"203","it says that a solider and was wounded while in france",0,0.0024750828742981
"204","his granny could come and see him",1,0.955206513404846
"205","that he could see his grannie again",1,0.995199739933014
"206","he was near his grannie",1,0.980197906494141
"207","he was in a hospital near where his granny lived",1,0.999816477298737
"208","he was brough closer to the town where his grannie was living in",1,0.995035767555237
"209","i knew that",0,0.0146506130695343
"210","he got to see his granny",1,0.982207417488098
"211","he was hurt",0,0.0135625898838043
"212","she wanted him to write to her",0,0.0258083641529083
"213","his granney was little and small",0,0.0408850610256195
"214","he got to see he nan",1,0.991800308227539
"215","he could go back home",1,0.99378627538681
"216","he got to see his grannie again",1,0.995813012123108
"217","his grannie was still there for you",0,0.00875228643417358
"218","i realised that circumstance had brought me close to the town where she was living still",1,0.999749422073364
"219","people had to go hospital",0,0.979688763618469
"220","he as near his granny vilage",1,0.990249156951904
